League,Team,Player,URL
EPL,Chelsea,Vice presidents,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Rafael Benítez,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Thomas Tuchel,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Ruud Gullit,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Guus Hiddink,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Mark Walter,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Daniel Finkelstein,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Gianluca Vialli,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Jonathan Goldstein,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Barbara Charone,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Dave Sexton,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Director of football operations,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Tommy Docherty,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Behdad Eghbali,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Maurizio Sarri,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Enzo Maresca,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Anthony Reeves,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Antonio Conte,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Chelsea,Alan Spence,https://en.wikipedia.org/wiki/Chelsea_F.C.
EPL,Crystal Palace,Jack Tresadern,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Roy Hodgson,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Tom Bromilow,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Dougie Freedman,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Arthur Rowe,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Paul Hart,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Tony Pulis,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Edmund Goodman,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Ian Holloway,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Alex Maley,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Fred Dawes/Charlie Slade,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Jack Butler,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Jack Robson,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
EPL,Crystal Palace,Dick Graham,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.
