name,team,sport,league,current_image
T. Vannucchi,Fiorentina,Football,SerieA,https://media.api-sports.io/football/players/411161.png
M. Moreno,Fiorentina,Football,SerieA,https://media.api-sports.io/football/players/421807.png
T. Rubino,Fiorentina,Football,SerieA,https://media.api-sports.io/football/players/437095.png
P. Pellegri,Torino,Football,SerieA,https://media.api-sports.io/football/players/123.png
Y. Karamoh,Torino,Football,SerieA,https://media.api-sports.io/football/players/1278.png
N. Radonjić,Torino,Football,SerieA,https://media.api-sports.io/football/players/1920.png
K. Linetty,Torino,Football,SerieA,https://media.api-sports.io/football/players/3009.png
M. Vojvoda,Torino,Football,SerieA,https://media.api-sports.io/football/players/8586.png
B. Sosa,Torino,Football,SerieA,https://media.api-sports.io/football/players/26303.png
K. Horváth,Torino,Football,SerieA,https://media.api-sports.io/football/players/27789.png
L. Gemello,Torino,Football,SerieA,https://media.api-sports.io/football/players/30492.png
K. Djidji,Torino,Football,SerieA,https://media.api-sports.io/football/players/30499.png
A. Buongiorno,Torino,Football,SerieA,https://media.api-sports.io/football/players/31226.png
M. Pedersen,Torino,Football,SerieA,https://media.api-sports.io/football/players/39362.png
N. Rauti,Torino,Football,SerieA,https://media.api-sports.io/football/players/126766.png
A. Salama,Torino,Football,SerieA,https://media.api-sports.io/football/players/352990.png
A. Njie,Torino,Football,SerieA,https://media.api-sports.io/football/players/383006.png
Michele Casali,Torino,Football,SerieA,https://media.api-sports.io/football/players/403635.png
F. Plaia,Torino,Football,SerieA,https://media.api-sports.io/football/players/410400.png
M. Brezzo,Torino,Football,SerieA,https://media.api-sports.io/football/players/428228.png
A. Cacciamani,Torino,Football,SerieA,https://media.api-sports.io/football/players/471040.png
A. Raballo,Torino,Football,SerieA,https://media.api-sports.io/football/players/471044.png
R. Ceica,Torino,Football,SerieA,https://media.api-sports.io/football/players/493783.png
K. Lasagna,Verona,Football,SerieA,https://media.api-sports.io/football/players/30815.png
A. Berardi,Verona,Football,SerieA,https://media.api-sports.io/football/players/30912.png
M. Chiesa,Verona,Football,SerieA,https://media.api-sports.io/football/players/30913.png
P. Dawidowicz,Verona,Football,SerieA,https://media.api-sports.io/football/players/30921.png
A. Hrustić,Verona,Football,SerieA,https://media.api-sports.io/football/players/38123.png
Dani Silva,Verona,Football,SerieA,https://media.api-sports.io/football/players/42007.png
D. Mosquera,Verona,Football,SerieA,https://media.api-sports.io/football/players/59421.png
M. Çetin,Verona,Football,SerieA,https://media.api-sports.io/football/players/61808.png
E. Tavşan,Verona,Football,SerieA,https://media.api-sports.io/football/players/93001.png
J. Cruz,Verona,Football,SerieA,https://media.api-sports.io/football/players/129892.png
J. Braaf,Verona,Football,SerieA,https://media.api-sports.io/football/players/144735.png
Joselito,Verona,Football,SerieA,https://media.api-sports.io/football/players/185371.png
A. Sarr,Verona,Football,SerieA,https://media.api-sports.io/football/players/236955.png
Y. Okou,Verona,Football,SerieA,https://media.api-sports.io/football/players/274299.png
Y. Kallon,Verona,Football,SerieA,https://media.api-sports.io/football/players/315026.png
D. Livramento,Verona,Football,SerieA,https://media.api-sports.io/football/players/343287.png
A. Sishuba,Verona,Football,SerieA,https://media.api-sports.io/football/players/352999.png
M. Lambourde,Verona,Football,SerieA,https://media.api-sports.io/football/players/395761.png
J. Ajayi,Verona,Football,SerieA,https://media.api-sports.io/football/players/408634.png
A. Luna,Verona,Football,SerieA,https://media.api-sports.io/football/players/454348.png
S. Esposito,Inter,Football,SerieA,https://media.api-sports.io/football/players/215.png
J. Correa,Inter,Football,SerieA,https://media.api-sports.io/football/players/1854.png
Z. Vanheusden,Inter,Football,SerieA,https://media.api-sports.io/football/players/2107.png
M. Arnautović,Inter,Football,SerieA,https://media.api-sports.io/football/players/18830.png
G. Oristanio,Inter,Football,SerieA,https://media.api-sports.io/football/players/161859.png
Jacopo Gianelli,Inter,Football,SerieA,https://media.api-sports.io/football/players/161861.png
F. Stanković,Inter,Football,SerieA,https://media.api-sports.io/football/players/162445.png
F. Carboni,Inter,Football,SerieA,https://media.api-sports.io/football/players/286473.png
M. Zanotti,Inter,Football,SerieA,https://media.api-sports.io/football/players/322626.png
A. Silvestro,Inter,Football,SerieA,https://media.api-sports.io/football/players/341823.png
C. Alexiou,Inter,Football,SerieA,https://media.api-sports.io/football/players/343345.png
D. Quieto,Inter,Football,SerieA,https://media.api-sports.io/football/players/364643.png
L. Topalović,Inter,Football,SerieA,https://media.api-sports.io/football/players/367878.png
F. Stante,Inter,Football,SerieA,https://media.api-sports.io/football/players/386867.png
M. Spinaccè,Inter,Football,SerieA,https://media.api-sports.io/football/players/436238.png
M. Zanchetta,Inter,Football,SerieA,https://media.api-sports.io/football/players/436240.png
Mike Aidoo,Inter,Football,SerieA,https://media.api-sports.io/football/players/436263.png
Matteo Motta,Inter,Football,SerieA,https://media.api-sports.io/football/players/441132.png
A. Taho,Inter,Football,SerieA,https://media.api-sports.io/football/players/449683.png
D. Zárate,Inter,Football,SerieA,https://media.api-sports.io/football/players/451348.png
S. Luperto,Empoli,Football,SerieA,https://media.api-sports.io/football/players/319.png
V. Kovalenko,Empoli,Football,SerieA,https://media.api-sports.io/football/players/690.png
S. Żurkowski,Empoli,Football,SerieA,https://media.api-sports.io/football/players/3014.png
E. Gyasi,Empoli,Football,SerieA,https://media.api-sports.io/football/players/30845.png
F. Caputo,Empoli,Football,SerieA,https://media.api-sports.io/football/players/31060.png
N. Haas,Empoli,Football,SerieA,https://media.api-sports.io/football/players/31555.png
F. Donati,Empoli,Football,SerieA,https://media.api-sports.io/football/players/128495.png
Herculano Nabian,Empoli,Football,SerieA,https://media.api-sports.io/football/players/281340.png
D. Degli Innocenti,Empoli,Football,SerieA,https://media.api-sports.io/football/players/340699.png
A. Renzi,Empoli,Football,SerieA,https://media.api-sports.io/football/players/341996.png
J. Bacci,Empoli,Football,SerieA,https://media.api-sports.io/football/players/358638.png
Noah Houssain El Biache,Empoli,Football,SerieA,https://media.api-sports.io/football/players/364664.png
Andrea Sodero,Empoli,Football,SerieA,https://media.api-sports.io/football/players/367519.png
I. Konate,Empoli,Football,SerieA,https://media.api-sports.io/football/players/383002.png
A. Hemsley,Empoli,Football,SerieA,https://media.api-sports.io/football/players/432055.png
B. Popov,Empoli,Football,SerieA,https://media.api-sports.io/football/players/452409.png
T. Campaniello,Empoli,Football,SerieA,https://media.api-sports.io/football/players/462229.png
Brayan,Empoli,Football,SerieA,https://media.api-sports.io/football/players/490665.png
A. Baralla,Empoli,Football,SerieA,https://media.api-sports.io/football/players/503491.png
A. Asmussen,Empoli,Football,SerieA,https://media.api-sports.io/football/players/505097.png
M. Jajalo,Venezia,Football,SerieA,https://media.api-sports.io/football/players/9010.png
M. Marić,Venezia,Football,SerieA,https://media.api-sports.io/football/players/9072.png
M. Kofod Andersen,Venezia,Football,SerieA,https://media.api-sports.io/football/players/15905.png
A. Duncan,Venezia,Football,SerieA,https://media.api-sports.io/football/players/30532.png
A. Candela,Venezia,Football,SerieA,https://media.api-sports.io/football/players/30770.png
F. Neri,Venezia,Football,SerieA,https://media.api-sports.io/football/players/30947.png
Bruno,Venezia,Football,SerieA,https://media.api-sports.io/football/players/31353.png
L. Fiordilino,Venezia,Football,SerieA,https://media.api-sports.io/football/players/31554.png
D. Redan,Venezia,Football,SerieA,https://media.api-sports.io/football/players/119686.png
G. Oristanio,Venezia,Football,SerieA,https://media.api-sports.io/football/players/161859.png
Afonso Peixoto,Venezia,Football,SerieA,https://media.api-sports.io/football/players/278730.png
D. Fila,Venezia,Football,SerieA,https://media.api-sports.io/football/players/290536.png
I. Doumbia,Venezia,Football,SerieA,https://media.api-sports.io/football/players/331046.png
J. Enem,Venezia,Football,SerieA,https://media.api-sports.io/football/players/349185.png
L. Busato,Venezia,Football,SerieA,https://media.api-sports.io/football/players/378967.png
M. Ladisa,Venezia,Football,SerieA,https://media.api-sports.io/football/players/470958.png
S. El Haddad,Venezia,Football,SerieA,https://media.api-sports.io/football/players/471649.png
S. Ascione,Venezia,Football,SerieA,https://media.api-sports.io/football/players/475005.png
E. Cobbaut,Parma,Football,SerieA,https://media.api-sports.io/football/players/1409.png
C. Ansaldi,Parma,Football,SerieA,https://media.api-sports.io/football/players/30496.png
R. Inglese,Parma,Football,SerieA,https://media.api-sports.io/football/players/31031.png
M. Đurić,Parma,Football,SerieA,https://media.api-sports.io/football/players/31692.png
D. Man,Parma,Football,SerieA,https://media.api-sports.io/football/players/43036.png
V. Mihăilă,Parma,Football,SerieA,https://media.api-sports.io/football/players/43056.png
P. Almqvist,Parma,Football,SerieA,https://media.api-sports.io/football/players/48193.png
A. Partipilo,Parma,Football,SerieA,https://media.api-sports.io/football/players/56860.png
G. Charpentier,Parma,Football,SerieA,https://media.api-sports.io/football/players/72388.png
D. Camara,Parma,Football,SerieA,https://media.api-sports.io/football/players/91424.png
J. Ondrejka,Parma,Football,SerieA,https://media.api-sports.io/football/players/191979.png
T. Begić,Parma,Football,SerieA,https://media.api-sports.io/football/players/201466.png
F. Rinaldi,Parma,Football,SerieA,https://media.api-sports.io/football/players/237268.png
M. Turk,Parma,Football,SerieA,https://media.api-sports.io/football/players/289513.png
Mateo Pellegrino,Parma,Football,SerieA,https://media.api-sports.io/football/players/292172.png
G. Vaglica,Parma,Football,SerieA,https://media.api-sports.io/football/players/330405.png
N. Buayi-Kiala,Parma,Football,SerieA,https://media.api-sports.io/football/players/335064.png
D. Mikołajewski,Parma,Football,SerieA,https://media.api-sports.io/football/players/394882.png
J. Bal,Parma,Football,SerieA,https://media.api-sports.io/football/players/412880.png
M. Anas,Parma,Football,SerieA,https://media.api-sports.io/football/players/432057.png
M. Pongračić,Lecce,Football,SerieA,https://media.api-sports.io/football/players/1084.png
A. Rebić,Lecce,Football,SerieA,https://media.api-sports.io/football/players/1831.png
F. Brancolini,Lecce,Football,SerieA,https://media.api-sports.io/football/players/30391.png
K. Bonifazi,Lecce,Football,SerieA,https://media.api-sports.io/football/players/30853.png
K. Dermaku,Lecce,Football,SerieA,https://media.api-sports.io/football/players/31328.png
M. Bleve,Lecce,Football,SerieA,https://media.api-sports.io/football/players/31717.png
J. Karlsson,Lecce,Football,SerieA,https://media.api-sports.io/football/players/48079.png
M. Sala,Lecce,Football,SerieA,https://media.api-sports.io/football/players/56161.png
A. Pelmard,Lecce,Football,SerieA,https://media.api-sports.io/football/players/64256.png
N. Krstović,Lecce,Football,SerieA,https://media.api-sports.io/football/players/66817.png
E. Mömmö,Lecce,Football,SerieA,https://media.api-sports.io/football/players/153021.png
Pablo Rodríguez,Lecce,Football,SerieA,https://media.api-sports.io/football/players/162029.png
D. Samek,Lecce,Football,SerieA,https://media.api-sports.io/football/players/306350.png
R. Burnete,Lecce,Football,SerieA,https://media.api-sports.io/football/players/327763.png
L. Hasa,Lecce,Football,SerieA,https://media.api-sports.io/football/players/335102.png
D. Daka,Lecce,Football,SerieA,https://media.api-sports.io/football/players/341910.png
M. Lemmens,Lecce,Football,SerieA,https://media.api-sports.io/football/players/341917.png
Joan Gonzàlez,Lecce,Football,SerieA,https://media.api-sports.io/football/players/344335.png
J. Corfitzen,Lecce,Football,SerieA,https://media.api-sports.io/football/players/374725.png
A. Viola,Lecce,Football,SerieA,https://media.api-sports.io/football/players/432058.png
M. Tremolada,Como,Football,SerieA,https://media.api-sports.io/football/players/402326.png
S. Ghidotti,Como,Football,SerieA,https://media.api-sports.io/football/players/30392.png
M. Piombino,Como,Football,SerieA,https://media.api-sports.io/football/players/452398.png
R. Varane,Como,Football,SerieA,https://media.api-sports.io/football/players/742.png
D. Baselli,Como,Football,SerieA,https://media.api-sports.io/football/players/30506.png
M. Chajia,Como,Football,SerieA,https://media.api-sports.io/football/players/31182.png
A. Iovine,Como,Football,SerieA,https://media.api-sports.io/football/players/31871.png
Sven Lesjak,Como,Football,SerieA,https://media.api-sports.io/football/players/455122.png
P. Bolchini,Como,Football,SerieA,https://media.api-sports.io/football/players/137398.png
M. Mustapha,Como,Football,SerieA,https://media.api-sports.io/football/players/202729.png
I. Van der Brempt,Como,Football,SerieA,https://media.api-sports.io/football/players/129119.png
S. Ballet,Como,Football,SerieA,https://media.api-sports.io/football/players/152609.png
Gabriel Strefezza,Como,Football,SerieA,https://media.api-sports.io/football/players/31624.png
P. Cutrone,Como,Football,SerieA,https://media.api-sports.io/football/players/1649.png
A. Cerri,Como,Football,SerieA,https://media.api-sports.io/football/players/30570.png
T. Douvikas,Como,Football,SerieA,https://media.api-sports.io/football/players/26845.png
A. Fadera,Como,Football,SerieA,https://media.api-sports.io/football/players/263699.png
R. Gagliardini,Monza,Football,SerieA,https://media.api-sports.io/football/players/203.png
Carlos Augusto,Monza,Football,SerieA,https://media.api-sports.io/football/players/10238.png
G. Donati,Monza,Football,SerieA,https://media.api-sports.io/football/players/25911.png
G. Kiriakopoulos,Monza,Football,SerieA,https://media.api-sports.io/football/players/26828.png
P. Gómez,Monza,Football,SerieA,https://media.api-sports.io/football/players/30433.png
M. Pessina,Monza,Football,SerieA,https://media.api-sports.io/football/players/30436.png
G. Caprari,Monza,Football,SerieA,https://media.api-sports.io/football/players/30460.png
S. Sensi,Monza,Football,SerieA,https://media.api-sports.io/football/players/30535.png
Dany Mota,Monza,Football,SerieA,https://media.api-sports.io/football/players/30603.png
L. Mancuso,Monza,Football,SerieA,https://media.api-sports.io/football/players/31503.png
P. Ciurria,Monza,Football,SerieA,https://media.api-sports.io/football/players/31532.png
O. Forson,Monza,Football,SerieA,https://media.api-sports.io/football/players/284242.png
S. Vignato,Monza,Football,SerieA,https://media.api-sports.io/football/players/312985.png
Kevin Zeroli,Monza,Football,SerieA,https://media.api-sports.io/football/players/382945.png
L. Colombo,Monza,Football,SerieA,https://media.api-sports.io/football/players/394438.png
E. Scaramelli,Monza,Football,SerieA,https://media.api-sports.io/football/players/418333.png
T. Marras,Monza,Football,SerieA,https://media.api-sports.io/football/players/436271.png
A. Berretta,Monza,Football,SerieA,https://media.api-sports.io/football/players/438039.png
K. Maussi Martins,Monza,Football,SerieA,https://media.api-sports.io/football/players/443141.png
J. Aholou,Angers,Football,Ligue1,https://media.api-sports.io/football/players/103.png
A. Hunou,Angers,Football,Ligue1,https://media.api-sports.io/football/players/2210.png
Z. Ferhat,Angers,Football,Ligue1,https://media.api-sports.io/football/players/3175.png
F. El Melali,Angers,Football,Ligue1,https://media.api-sports.io/football/players/3177.png
I. Niane,Angers,Football,Ligue1,https://media.api-sports.io/football/players/20537.png
J. Allevinah,Angers,Football,Ligue1,https://media.api-sports.io/football/players/21618.png
L. Diony,Angers,Football,Ligue1,https://media.api-sports.io/football/players/22100.png
H. Šabanović,Angers,Football,Ligue1,https://media.api-sports.io/football/players/76904.png
E. Lepaul,Angers,Football,Ligue1,https://media.api-sports.io/football/players/163004.png
Z. Ould Khaled,Angers,Football,Ligue1,https://media.api-sports.io/football/players/174723.png
E. Caumont,Angers,Football,Ligue1,https://media.api-sports.io/football/players/327702.png
N. Nadje,Angers,Football,Ligue1,https://media.api-sports.io/football/players/330234.png
E. Pasture,Angers,Football,Ligue1,https://media.api-sports.io/football/players/340717.png
W. Boussaid,Angers,Football,Ligue1,https://media.api-sports.io/football/players/395763.png
D. N&apos;Diaye,Angers,Football,Ligue1,https://media.api-sports.io/football/players/398498.png
L. Machine,Angers,Football,Ligue1,https://media.api-sports.io/football/players/403277.png
S. Cherif,Angers,Football,Ligue1,https://media.api-sports.io/football/players/421875.png
A. Moussaoui,Angers,Football,Ligue1,https://media.api-sports.io/football/players/455243.png
P. Peter,Angers,Football,Ligue1,https://media.api-sports.io/football/players/457541.png
S. Umtiti,Lille,Football,Ligue1,https://media.api-sports.io/football/players/139.png
A. Ounas,Lille,Football,Ligue1,https://media.api-sports.io/football/players/327.png
C. Akpom,Lille,Football,Ligue1,https://media.api-sports.io/football/players/2380.png
V. Vanbaleghem,Lille,Football,Ligue1,https://media.api-sports.io/football/players/20829.png
A. Zedadka,Lille,Football,Ligue1,https://media.api-sports.io/football/players/21233.png
R. Cabella,Lille,Football,Ligue1,https://media.api-sports.io/football/players/22093.png
A. Jakubech,Lille,Football,Ligue1,https://media.api-sports.io/football/players/22219.png
G. Gudmundsson,Lille,Football,Ligue1,https://media.api-sports.io/football/players/47969.png
Y. Yazıcı,Lille,Football,Ligue1,https://media.api-sports.io/football/players/49888.png
V. Mannone,Lille,Football,Ligue1,https://media.api-sports.io/football/players/51146.png
T. Negrel,Lille,Football,Ligue1,https://media.api-sports.io/football/players/275368.png
J. Bazié,Lille,Football,Ligue1,https://media.api-sports.io/football/players/293457.png
Lisandru Olmeta,Lille,Football,Ligue1,https://media.api-sports.io/football/players/343349.png
A. Faiz,Lille,Football,Ligue1,https://media.api-sports.io/football/players/345813.png
A. Malouda,Lille,Football,Ligue1,https://media.api-sports.io/football/players/349947.png
I. Ferrah,Lille,Football,Ligue1,https://media.api-sports.io/football/players/361445.png
L. Baret,Lille,Football,Ligue1,https://media.api-sports.io/football/players/401333.png
M. Ezzarhouni,Lille,Football,Ligue1,https://media.api-sports.io/football/players/418914.png
M. Costarelli,Lille,Football,Ligue1,https://media.api-sports.io/football/players/437767.png
N. Matić,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/902.png
A. Maitland-Niles,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/1456.png
A. Lacazette,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/1467.png
T. Almada,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/6067.png
S. Benrahma,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/19361.png
O. Mangala,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/24882.png
J. Veretout,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/30409.png
T. Tessmann,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/80752.png
F. Da Silva,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/162198.png
G. Mikautadze,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/180496.png
A. Sarr,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/236955.png
M. El Arouch,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/270811.png
I. Lomami,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/270812.png
M. Sarr,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/276184.png
C. El Djebali,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/345531.png
E. Nuamah,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/350856.png
M. Fofana,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/361348.png
Alejandro Gomes Rodriguez,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/409794.png
M. de Carvalho,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/438692.png
E. Molébé,Lyon,Football,Ligue1,https://media.api-sports.io/football/players/471106.png
J. Correa,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/1854.png
J. Amavi,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/1901.png
I. Ndiaye,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/18592.png
P. Gueye,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/20696.png
S. Sidi Ali,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/26694.png
S. Sparagna,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/41302.png
J. Onana,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/41748.png
S. Ben Seghir,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/193619.png
Vítinha,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/281408.png
A. Caprice,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/325963.png
L. Jousselin,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/333000.png
A. Kabamba,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/343321.png
R. Daou,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/345524.png
Iuri Alexandre da Silva Moreira,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/365545.png
A. Tunkadi,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/369953.png
A. Laaziri,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/370870.png
Gaël Lafont,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/393926.png
S. Ahamada,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/519493.png
M. Andrianaivo,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/519494.png
E. Mailly,Marseille,Football,Ligue1,https://media.api-sports.io/football/players/519495.png
Y. Karamoh,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/1278.png
L. Leroy,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/20833.png
B. Touré,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/20866.png
A. Delort,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/21591.png
W. Khazri,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/22102.png
S. Hefti,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/48475.png
T. Coulibaly,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/113581.png
J. Chotard,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/128287.png
M. Estève,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/179400.png
K. Fayad,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/326088.png
T. Allix,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/326092.png
S. Džodić,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/342228.png
N. Pays,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/349616.png
A. Gueguin,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/355076.png
J. Ndiaye,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/361383.png
S. Cara,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/368812.png
T. Chennahi,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/369676.png
Y. Issoufou,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/395760.png
G. Ngosso,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/459711.png
A. Camara,Montpellier,Football,Ligue1,https://media.api-sports.io/football/players/490138.png
M. Sissoko,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/179.png
M. Simon,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/2781.png
T. Kadewere,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/3084.png
R. Descamps,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/20762.png
N. Pallois,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/21088.png
D. Petrić,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/21484.png
M. Coco,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/21498.png
E. Cömert,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/48372.png
M. Abline,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/161622.png
H. Barbet,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/174727.png
Y. M&apos;Bemba,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/196583.png
J. Affamah,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/272459.png
S. Sow,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/274328.png
B. Traoré,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/304161.png
M. Bodiang,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/323937.png
M. Oger,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/345101.png
A. Mahamoud,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/349636.png
H. Boutsingkham,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/349638.png
M. Diaz,Nantes,Football,Ligue1,https://media.api-sports.io/football/players/365742.png
K. Thuram,Nice,Football,Ligue1,https://media.api-sports.io/football/players/116.png
J. Lotomba,Nice,Football,Ligue1,https://media.api-sports.io/football/players/945.png
M. Bułka,Nice,Football,Ligue1,https://media.api-sports.io/football/players/2274.png
B. Brahimi,Nice,Football,Ligue1,https://media.api-sports.io/football/players/19250.png
R. Perraud,Nice,Football,Ligue1,https://media.api-sports.io/football/players/20600.png
B. Santamaría,Nice,Football,Ligue1,https://media.api-sports.io/football/players/21153.png
G. Laborde,Nice,Football,Ligue1,https://media.api-sports.io/football/players/21592.png
V. Rosier,Nice,Football,Ligue1,https://media.api-sports.io/football/players/21701.png
J. Boga,Nice,Football,Ligue1,https://media.api-sports.io/football/players/30531.png
T. Moffi,Nice,Football,Ligue1,https://media.api-sports.io/football/players/69971.png
E. Guessand,Nice,Football,Ligue1,https://media.api-sports.io/football/players/137303.png
Y. Moukoko,Nice,Football,Ligue1,https://media.api-sports.io/football/players/161919.png
M. Viti,Nice,Football,Ligue1,https://media.api-sports.io/football/players/180510.png
A. Balde,Nice,Football,Ligue1,https://media.api-sports.io/football/players/237068.png
M. Cho,Nice,Football,Ligue1,https://media.api-sports.io/football/players/274312.png
D. Traoré,Nice,Football,Ligue1,https://media.api-sports.io/football/players/375578.png
S. Wattel,Nice,Football,Ligue1,https://media.api-sports.io/football/players/401492.png
K. Boudache,Nice,Football,Ligue1,https://media.api-sports.io/football/players/405237.png
V. Orakpo,Nice,Football,Ligue1,https://media.api-sports.io/football/players/477124.png
Fares Bousnina,Nice,Football,Ligue1,https://media.api-sports.io/football/players/502387.png
Juan Bernat,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/258.png
C. Dagba,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/260.png
L. Kurzawa,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/263.png
Kylian Mbappé,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/278.png
K. Navas,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/731.png
Sergio Rico,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/19014.png
A. Letellier,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/20568.png
X. Simons,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/162016.png
L. Lavallée,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/198398.png
A. Kari,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/336561.png
L. Mouquet,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/349189.png
I. Housni,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/386275.png
Yoram\t Zague,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/386285.png
E. Mbappé,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/386287.png
Kouakou Joane Gadou,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/409215.png
Serif Nhaga,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/409217.png
Naoufel El Hannach,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/441284.png
I. Mbaye,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/446249.png
Quentin Ndjantou Mbitcha,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/471107.png
W. Slama,Paris Saint Germain,Football,Ligue1,https://media.api-sports.io/football/players/493032.png
J. Teze,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/231.png
B. Embolo,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/421.png
W. Ben Yedder,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/2059.png
M. Camara,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/7754.png
M. Boadu,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/36907.png
F. Balogun,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/138835.png
M. Biereth,Monaco,Football,Ligue1,https://media.api-sports.io/football/players/283026.png
