name,team,sport,league,local_path
Josep Gayá,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\josep_gayá.png
Chiquinho,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\chiquinho.png
Miguel Martín,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\miguel_martín.png
Alex,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\alex.png
Pau Mascaró,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\pau_mascaro.png
Sebastian Wade,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\sebastian_wade.png
Marcos Fernández,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\marcos_fernández.png
Carlos Sogorb,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\carlos_sogorb.png
Yuzún Ley,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\yuzún_ley.png
Marc Domenech,Mallorca,Football,LaLiga,static\logos\players\soccer\mallorca\marc_domenech.png
T. Müller,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\t_müller.png
L. Sané,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\l_sané.png
B. Sarr,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\b_sarr.png
M. Tillman,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\m_tillman.png
J. Schenk,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\j_schenk.png
L. Denk,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\l_denk.png
T. Hülsmann,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\t_hülsmann.png
Bryan Zaragoza,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\bryan_zaragoza.png
J. Janitzek,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\j_janitzek.png
P. Wanner,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\p_wanner.png
Olof Matteo Perez Vinlöf,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\olof_matteo_perez_vinlof.png
Jonathan Asp Jensen,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\jonathan_asp_jensen.png
Vincent Manuba,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\vincent_manuba.png
Benedikt Wimmer,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\benedikt_wimmer.png
Grayson Dettoni,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\grayson_dettoni.png
M. Scholze,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\m_scholze.png
Javier Fernández González,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\javier_fernández_gonzález.png
Adin Ličina,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\adin_ličina.png
Mudaser Sadat,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\mudaser_sadat.png
Michael Scott,Bayern München,Football,Bundesliga,static\logos\players\soccer\bayern_münchen\michael_scott.png
M. Philipp,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\m_philipp.png
R. Dōan,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\r_dōan.png
M. Gregoritsch,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\m_gregoritsch.png
F. Muslija,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\f_muslija.png
D. Kyereh,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\d_kyereh.png
M. Gulde,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\m_gulde.png
L. Höler,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\l_holer.png
J. Adamu,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\j_adamu.png
F. Rüdlin,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\f_rüdlin.png
P. Osterhage,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\p_osterhage.png
E. Dinkçi,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\e_dinkçi.png
N. Weißhaupt,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\n_weißhaupt.png
K. Ezekwem,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\k_ezekwem.png
N. Sauter,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\n_sauter.png
D. Scherhant,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\d_scherhant.png
H. Siquet,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\h_siquet.png
J. Jantunen,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\j_jantunen.png
Yann Sturm,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\yann_sturm.png
J. Manzambi,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\j_manzambi.png
Cyriaque Kalou Irié,SC Freiburg,Football,Bundesliga,static\logos\players\soccer\sc_freiburg\cyriaque_kalou_irié.png
V. Černý,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\v_černý.png
J. Wind,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\j_wind.png
S. Bornauw,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\s_bornauw.png
B. Franjić,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\b_franjić.png
A. Skov Olsen,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\a_skov_olsen.png
L. Nmecha,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\l_nmecha.png
S. Özcan,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\s_ozcan.png
K. Behrens,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\k_behrens.png
R. Baku,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\r_baku.png
J. Kamiński,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\j_kamiński.png
C. Zesiger,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\c_zesiger.png
U. Llanez,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\u_llanez.png
N. Klinger,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\n_klinger.png
B. Białek,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\b_białek.png
M. Amoura,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\m_amoura.png
Tiago Tomás,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\tiago_tomás.png
D. Pejčinović,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\d_pejčinović.png
A. Børset,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\a_børset.png
Trevor Chidubem Benedict,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\trevor_chidubem_benedict.png
Jonathan Akaegbobi,VfL Wolfsburg,Football,Bundesliga,static\logos\players\soccer\vfl_wolfsburg\jonathan_akaegbobi.png
M. Veljković,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\m_veljković.png
D. Kownacki,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\d_kownacki.png
M. Grüll,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\m_grüll.png
R. Schmid,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\r_schmid.png
A. Jung,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\a_jung.png
M. Ducksch,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\m_ducksch.png
C. Röcker,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\c_rocker.png
M. Łukowicz,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\m_łukowicz.png
J. Njinmah,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\j_njinmah.png
I. Hansen-Aarøen,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\i_hansenaarøen.png
J. Löpping,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\j_lopping.png
D. Salifou,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\d_salifou.png
Joel Victor Imasuen,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\joel_victor_imasuen.png
K. Topp,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\k_topp.png
S. Angelidis,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\s_angelidis.png
L. Opitz,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\l_opitz.png
P. Čović,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\p_čović.png
Wesley Adeh,Werder Bremen,Football,Bundesliga,static\logos\players\soccer\werder_bremen\wesley_adeh.png
J. Weigl,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\j_weigl.png
R. Hack,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\r_hack.png
S. Lainer,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\s_lainer.png
M. Koné,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\m_koné.png
K. Stöger,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\k_stoger.png
C. Kramer,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\c_kramer.png
F. Neuhaus,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\f_neuhaus.png
A. Pléa,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\a_pléa.png
T. Kleindienst,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\t_kleindienst.png
T. Čvančara,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\t_čvančara.png
M. Brüll,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\m_brüll.png
G. Ranos,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\g_ranos.png
Y. Borges Sanches,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\y_borges_sanches.png
V. Stange,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\v_stange.png
Noah Pesch,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\noah_pesch.png
S. Walde,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\s_walde.png
Yannik David Dasbach,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\yannik_david_dasbach.png
S. Fukuda,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\s_fukuda.png
Charles Herrmann,Borussia Mönchengladbach,Football,Bundesliga,static\logos\players\soccer\borussia_mönchengladbach\charles_herrmann.png
N. Amiri,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\n_amiri.png
D. da Costa,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\d_da_costa.png
Lee Jae-Sung,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\lee_jaesung.png
A. Nordin,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\a_nordin.png
L. Ajorque,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\l_ajorque.png
L. Maloney,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\l_maloney.png
M. Richter,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\m_richter.png
A. Barkok,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\a_barkok.png
K. Onisiwo,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\k_onisiwo.png
Hong Hyun-Seok,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\hong_hyunseok.png
K. Sano,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\k_sano.png
D. Mamutovic,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\d_mamutovic.png
L. Laux,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\l_laux.png
P. Nebel,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\p_nebel.png
G. Vidović,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\g_vidović.png
A. Sieb,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\a_sieb.png
N. Veratschnig,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\n_veratschnig.png
T. Müller,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\t_müller.png
N. Weiper,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\n_weiper.png
Daniel Gleiber,FSV Mainz 05,Football,Bundesliga,static\logos\players\soccer\fsv_mainz_05\daniel_gleiber.png
M. Wolf,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\m_wolf.png
T. Meunier,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\t_meunier.png
M. Hummels,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\m_hummels.png
J. Brandt,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\j_brandt.png
S. Haller,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\s_haller.png
K. Adeyemi,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\k_adeyemi.png
P. Groß,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\p_groß.png
S. Guirassy,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\s_guirassy.png
M. Beier,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\m_beier.png
Y. Moukoko,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\y_moukoko.png
S. Coulibaly,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\s_coulibaly.png
F. Roggow,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\f_roggow.png
R. Elongo-Yombo,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\r_elongoyombo.png
J. Hettwer,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\j_hettwer.png
Hendry Aron Blank,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\hendry_aron_blank.png
J. Duranville,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\j_duranville.png
Paris Josua  Brunner,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\paris_josua_brunner.png
Tyler Louis Meiser,Borussia Dortmund,Football,Bundesliga,static\logos\players\soccer\borussia_dortmund\tyler_louis_meiser.png
J. Bruun Larsen,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\j_bruun_larsen.png
P. Kadeřábek,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\p_kadeřábek.png
D. Samassékou,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\d_samassékou.png
A. Prass,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\a_prass.png
L. Østigård,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\l_østigård.png
J. Busk,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\j_busk.png
H. Tabaković,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\h_tabaković.png
E. Yardımcı,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\e_yardımcı.png
D. Jurásek,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\d_jurásek.png
F. Asllani,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\f_asllani.png
L. Đurić,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\l_đurić.png
P. Hennrich,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\p_hennrich.png
Florian Micheler,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\florian_micheler.png
S. Kalambayi,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\s_kalambayi.png
Lars Strobl,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\lars_strobl.png
Tim Philipp,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\tim_philipp.png
B. Touré,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\b_touré.png
Max Moerstedt,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\max_moerstedt.png
Benjamin Lade,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\benjamin_lade.png
Luca Erlein,1899 Hoffenheim,Football,Bundesliga,static\logos\players\soccer\1899_hoffenheim\luca_erlein.png
P. Schick,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\p_schick.png
N. Mukiele,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\n_mukiele.png
S. Azmoun,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\s_azmoun.png
O. Kossounou,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\o_kossounou.png
A. Hložek,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\a_hložek.png
A. Adli,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\a_adli.png
S. Fofana,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\s_fofana.png
M. Monamay,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\m_monamay.png
I. Maza,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\i_maza.png
Ken Eghosa Gideon Izekor,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\ken_eghosa_gideon_izekor.png
Kerim-Sam Alajbegović,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\kerimsam_alajbegović.png
A. Sarco,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\a_sarco.png
O. Raterink,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\o_raterink.png
A. Natali,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\a_natali.png
K. Raterink,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\k_raterink.png
B. Hawighorst,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\b_hawighorst.png
S. Rapsch,Bayer Leverkusen,Football,Bundesliga,static\logos\players\soccer\bayer_leverkusen\s_rapsch.png
J. Onguéné,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\j_onguéné.png
M. Batshuayi,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\m_batshuayi.png
W. Pacho,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\w_pacho.png
E. Skhiri,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\e_skhiri.png
A. Knauff,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\a_knauff.png
H. Ekitike,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\h_ekitike.png
I. Matanović,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\i_matanović.png
F. Chaïbi,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\f_chaïbi.png
M. Wenig,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\m_wenig.png
M. Loune,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\m_loune.png
O. HÃ¸jlund,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\o_hãjlund.png
K. Lisztes,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\k_lisztes.png
J. Bahoya,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\j_bahoya.png
Yurij Alexandrovych Obert,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\yurij_alexandrovych_obert.png
Anas Alaoui,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\anas_alaoui.png
Andrew Junior Awusi Boddien,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\andrew_junior_awusi_boddien.png
Nils Ramming,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\nils_ramming.png
A. Siljevic,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\a_siljevic.png
E. İş,Eintracht Frankfurt,Football,Bundesliga,static\logos\players\soccer\eintracht_frankfurt\e_iş.png
M. Wolf,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\m_wolf.png
S. Mounié,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\s_mounié.png
S. Essende,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\s_essende.png
I. Cardona,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\i_cardona.png
K. Jakić,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\k_jakić.png
N. Dorsch,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\n_dorsch.png
R. Framberger,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\r_framberger.png
R. Oxford,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\r_oxford.png
F. Jensen,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\f_jensen.png
E. Rexhbeçaj,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\e_rexhbeçaj.png
E. Demirović,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\e_demirović.png
N. Mbuku,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\n_mbuku.png
D. Deger,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\d_deger.png
D. Beljo,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\d_beljo.png
T. Breithaupt,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\t_breithaupt.png
D. Hausmann,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\d_hausmann.png
Y. Kabadayı,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\y_kabadayı.png
M. Kömür,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\m_komür.png
Felix Meiser,FC Augsburg,Football,Bundesliga,static\logos\players\soccer\fc_augsburg\felix_meiser.png
J. Bruun Larsen,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\j_bruun_larsen.png
S. Katompa Mvumpa,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\s_katompa_mvumpa.png
C. Führich,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\c_führich.png
N. Nartey,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\n_nartey.png
A. Karazor,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\a_karazor.png
D. Undav,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\d_undav.png
E. Demirović,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\e_demirović.png
J. Leweling,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\j_leweling.png
A. Rouault,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\a_rouault.png
A. Stiller,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\a_stiller.png
N. Woltemade,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\n_woltemade.png
F. Rieder,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\f_rieder.png
Y. Keitel,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\y_keitel.png
E. Touré,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\e_touré.png
W. Faghir,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\w_faghir.png
T. Kastanaras,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\t_kastanaras.png
J. Diehl,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\j_diehl.png
R. Paula,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\r_paula.png
Christopher Olivier,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\christopher_olivier.png
Eliot Bujupi,VfB Stuttgart,Football,Bundesliga,static\logos\players\soccer\vfb_stuttgart\eliot_bujupi.png
L. Openda,RB Leipzig,Football,Bundesliga,static\logos\players\soccer\rb_leipzig\l_openda.png
X. Schlager,RB Leipzig,Football,Bundesliga,static\logos\players\soccer\rb_leipzig\x_schlager.png
A. Haidara,RB Leipzig,Football,Bundesliga,static\logos\players\soccer\rb_leipzig\a_haidara.png
K. Kampl,RB Leipzig,Football,Bundesliga,static\logos\players\soccer\rb_leipzig\k_kampl.png
E. Elmas,RB Leipzig,Football,Bundesliga,static\logos\players\soccer\rb_leipzig\e_elmas.png
