name,team,sport,league,duplicate_count,kept_index,removed_indices
Ja'Marcus Ingram,Buffalo Bills,American-Football,NFL,2,6102,[22736]
Taron Johnson,Buffalo Bills,American-Football,NFL,2,6103,[22765]
Cam Lewis,Buffalo Bills,American-Football,NFL,2,6104,[22722]
Damar Hamlin,Buffalo Bills,American-Football,NFL,2,6105,[22728]
Sam Martin,Buffalo Bills,American-Football,NFL,2,6107,[22759]
Reid Ferguson,Buffalo Bills,American-Football,NFL,2,6108,[22756]
Ray Davis,Buffalo Bills,American-Football,NFL,2,6125,[22754]
Keon Coleman,Buffalo Bills,American-Football,NFL,2,6131,[22743]
O'Cyrus Torrence,Buffalo Bills,American-Football,NFL,2,6137,[22752]
Dalton Kincaid,Buffalo Bills,American-Football,NFL,2,6138,[22727]
Trey Sermon,Indianapolis Colts,American-Football,NFL,2,6158,[23220]
Joe Flacco,Indianapolis Colts,American-Football,NFL,2,6159,[23203]
Tyler Goodson,Indianapolis Colts,American-Football,NFL,2,6161,[23221]
Sam Ehlinger,Indianapolis Colts,American-Football,NFL,2,6164,[23217]
Jonathan Taylor,Indianapolis Colts,American-Football,NFL,2,6165,[23204]
Ashton Dulin,Indianapolis Colts,American-Football,NFL,2,6166,[23185]
Alec Pierce,Indianapolis Colts,American-Football,NFL,2,6168,[23181]
Michael Pittman Jr.,Indianapolis Colts,American-Football,NFL,2,6169,[23210]
Mo Alie-Cox,Indianapolis Colts,American-Football,NFL,2,6170,[23212]
Kylen Granson,Indianapolis Colts,American-Football,NFL,2,6171,[23206]
Andrew Ogletree,Indianapolis Colts,American-Football,NFL,2,6172,[23182]
Jelani Woods,Indianapolis Colts,American-Football,NFL,2,6173,[23202]
Quenton Nelson,Indianapolis Colts,American-Football,NFL,2,6174,[23215]
Bernhard Raimann,Indianapolis Colts,American-Football,NFL,2,6175,[23186]
DeForest Buckner,Indianapolis Colts,American-Football,NFL,2,6178,[23194]
Josh Downs,Indianapolis Colts,American-Football,NFL,2,6208,[23205]
Adonai Mitchell,Indianapolis Colts,American-Football,NFL,2,6217,[23180]
Anthony Richardson,Indianapolis Colts,American-Football,NFL,2,6219,[23184]
Will Mallory,Indianapolis Colts,American-Football,NFL,2,6222,[23224]
Tanor Bortolini,Indianapolis Colts,American-Football,NFL,2,6223,[23219]
Anthony Gould,Indianapolis Colts,American-Football,NFL,2,6231,[23183]
Dez Fitzpatrick,Pittsburgh Steelers,American-Football,NFL,2,6241,[23823]
Cordarrelle Patterson,Pittsburgh Steelers,American-Football,NFL,2,6243,[23818]
MyCole Pruitt,Pittsburgh Steelers,American-Football,NFL,2,6244,[23843]
Jonathan Ward,Pittsburgh Steelers,American-Football,NFL,2,6247,[23830]
Isaac Seumalo,Pittsburgh Steelers,American-Football,NFL,2,6249,[23826]
Justin Fields,Pittsburgh Steelers,American-Football,NFL,2,6255,[23831]
Najee Harris,Pittsburgh Steelers,American-Football,NFL,2,6259,[23845]
Jaylen Warren,Pittsburgh Steelers,American-Football,NFL,2,6260,[23828]
Calvin Austin III,Pittsburgh Steelers,American-Football,NFL,2,6261,[23814]
George Pickens,Pittsburgh Steelers,American-Football,NFL,2,6262,[23825]
Pat Freiermuth,Pittsburgh Steelers,American-Football,NFL,2,6263,[23847]
Connor Heyward,Pittsburgh Steelers,American-Football,NFL,2,6264,[23817]
Cameron Heyward,Pittsburgh Steelers,American-Football,NFL,2,6269,[23815]
T.J. Watt,Pittsburgh Steelers,American-Football,NFL,2,6273,[23855]
Terrell Edmunds,Pittsburgh Steelers,American-Football,NFL,2,6276,[23856]
Minkah Fitzpatrick,Pittsburgh Steelers,American-Football,NFL,2,6277,[23841]
Chris Boswell,Pittsburgh Steelers,American-Football,NFL,2,6280,[23816]
Scotty Miller,Pittsburgh Steelers,American-Football,NFL,2,6282,[23852]
Kyle Allen,Pittsburgh Steelers,American-Football,NFL,2,6286,[23834]
Russell Wilson,Pittsburgh Steelers,American-Football,NFL,2,6288,[23849]
Ben Skowronek,Pittsburgh Steelers,American-Football,NFL,2,6292,[23811]
Darnell Washington,Pittsburgh Steelers,American-Football,NFL,2,6309,[23821]
Broderick Jones,Pittsburgh Steelers,American-Football,NFL,2,6310,[23813]
Mason McCormick,Pittsburgh Steelers,American-Football,NFL,2,6317,[23838]
Johnathan Hankins,Seattle Seahawks,American-Football,NFL,2,6328,[23932]
Rayshawn Jenkins,Seattle Seahawks,American-Football,NFL,2,6330,[23950]
Leonard Williams,Seattle Seahawks,American-Football,NFL,2,6331,[23939]
Julian Love,Seattle Seahawks,American-Football,NFL,2,6332,[23933]
K'Von Wallace,Seattle Seahawks,American-Football,NFL,2,6336,[23934]
Laken Tomlinson,Seattle Seahawks,American-Football,NFL,2,6337,[23937]
Jarran Reed,Seattle Seahawks,American-Football,NFL,2,6338,[23928]
Sam Howell,Seattle Seahawks,American-Football,NFL,2,6339,[23953]
Laviska Shenault Jr.,Seattle Seahawks,American-Football,NFL,2,6341,[23938]
Tyrel Dodson,Seattle Seahawks,American-Football,NFL,2,6343,[23958]
Kenneth Walker III,Seattle Seahawks,American-Football,NFL,2,6345,[23935]
Dareke Young,Seattle Seahawks,American-Football,NFL,2,6349,[23919]
Noah Fant,Seattle Seahawks,American-Football,NFL,2,6350,[23947]
Stone Forsythe,Seattle Seahawks,American-Football,NFL,2,6351,[23955]
Myles Adams,Seattle Seahawks,American-Football,NFL,2,6353,[23945]
Boye Mafe,Seattle Seahawks,American-Football,NFL,2,6354,[23912]
Tre Brown,Seattle Seahawks,American-Football,NFL,2,6357,[23956]
Coby Bryant,Seattle Seahawks,American-Football,NFL,2,6358,[23917]
Jason Myers,Seattle Seahawks,American-Football,NFL,2,6362,[23929]
Michael Dickson,Seattle Seahawks,American-Football,NFL,2,6363,[23941]
Jerome Baker,Seattle Seahawks,American-Football,NFL,2,6366,[23931]
Pharaoh Brown,Seattle Seahawks,American-Football,NFL,2,6367,[23949]
Dre'Mont Jones,Seattle Seahawks,American-Football,NFL,2,6368,[23924]
Devon Witherspoon,Seattle Seahawks,American-Football,NFL,2,6375,[23922]
Dee Williams,Seattle Seahawks,American-Football,NFL,2,6378,[23920]
AJ Barner,Seattle Seahawks,American-Football,NFL,2,6384,[23910]
Brady Russell,Seattle Seahawks,American-Football,NFL,2,6385,[23913]
Kenny McIntosh,Seattle Seahawks,American-Football,NFL,2,6387,[23936]
Mike Morris,Seattle Seahawks,American-Football,NFL,2,6390,[23944]
Drake Thomas,Seattle Seahawks,American-Football,NFL,2,6391,[23923]
Jake Bobo,Seattle Seahawks,American-Football,NFL,2,6395,[23926]
Derick Hall,Seattle Seahawks,American-Football,NFL,2,6398,[23921]
Nehemiah Pritchett,Seattle Seahawks,American-Football,NFL,2,6399,[23946]
Anthony Bradford,Seattle Seahawks,American-Football,NFL,2,6409,[23911]
Baker Mayfield,Tampa Bay Buccaneers,American-Football,NFL,2,6422,[23960]
Cody Thompson,Tampa Bay Buccaneers,American-Football,NFL,2,6425,[23973]
Kyle Trask,Tampa Bay Buccaneers,American-Football,NFL,2,6427,[23991]
Rachaad White,Tampa Bay Buccaneers,American-Football,NFL,2,6428,[23999]
Mike Evans,Tampa Bay Buccaneers,American-Football,NFL,2,6429,[23996]
Chris Godwin,Tampa Bay Buccaneers,American-Football,NFL,2,6430,[23971]
Ko Kieft,Tampa Bay Buccaneers,American-Football,NFL,2,6431,[23989]
Cade Otton,Tampa Bay Buccaneers,American-Football,NFL,2,6432,[23966]
Luke Goedeke,Tampa Bay Buccaneers,American-Football,NFL,2,6434,[23994]
Justin Skule,Tampa Bay Buccaneers,American-Football,NFL,2,6435,[23983]
Shaquil Barrett,Tampa Bay Buccaneers,American-Football,NFL,2,6441,[24008]
Lavonte David,Tampa Bay Buccaneers,American-Football,NFL,2,6443,[23992]
John Wolford,Tampa Bay Buccaneers,American-Football,NFL,2,6453,[23981]
Payne Durham,Tampa Bay Buccaneers,American-Football,NFL,2,6468,[23998]
Bucky Irving,Tampa Bay Buccaneers,American-Football,NFL,2,6475,[23964]
Sean Tucker,Tampa Bay Buccaneers,American-Football,NFL,2,6490,[24007]
Jalen McMillan,Tampa Bay Buccaneers,American-Football,NFL,2,6492,[23980]
Devin Culp,Tampa Bay Buccaneers,American-Football,NFL,2,6493,[23975]
Cody Mauch,Tampa Bay Buccaneers,American-Football,NFL,2,6496,[23972]
Kameron Johnson,Tampa Bay Buccaneers,American-Football,NFL,2,6499,[23984]
Jonnu Smith,Miami Dolphins,American-Football,NFL,2,6501,[23498]
Isaiah Wynn,Miami Dolphins,American-Football,NFL,2,6502,[23490]
Jake Bailey,Miami Dolphins,American-Football,NFL,2,6503,[23492]
Calais Campbell,Miami Dolphins,American-Football,NFL,2,6506,[23476]
Benito Jones,Miami Dolphins,American-Football,NFL,2,6514,[23473]
Quinton Bell,Miami Dolphins,American-Football,NFL,2,6515,[23511]
Braxton Berrios,Miami Dolphins,American-Football,NFL,2,6522,[23475]
Jeff Wilson Jr.,Miami Dolphins,American-Football,NFL,2,6523,[23497]
Siran Neal,Miami Dolphins,American-Football,NFL,2,6530,[23515]
Jordan Poyer,Miami Dolphins,American-Football,NFL,2,6531,[23499]
Dee Eskridge,Miami Dolphins,American-Football,NFL,2,6533,[23482]
Jordyn Brooks,Miami Dolphins,American-Football,NFL,2,6534,[23500]
Skylar Thompson,Miami Dolphins,American-Football,NFL,2,6536,[23516]
Raheem Mostert,Miami Dolphins,American-Football,NFL,2,6537,[23512]
Alec Ingold,Miami Dolphins,American-Football,NFL,2,6538,[23469]
River Cracraft,Miami Dolphins,American-Football,NFL,2,6539,[23513]
Erik Ezukanma,Miami Dolphins,American-Football,NFL,2,6540,[23487]
Jaylen Waddle,Miami Dolphins,American-Football,NFL,2,6542,[23495]
Tanner Conner,Miami Dolphins,American-Football,NFL,2,6543,[23517]
Durham Smythe,Miami Dolphins,American-Football,NFL,2,6544,[23484]
Austin Jackson,Miami Dolphins,American-Football,NFL,2,6545,[23472]
Robert Jones,Miami Dolphins,American-Football,NFL,2,6546,[23514]
Terron Armstead,Miami Dolphins,American-Football,NFL,2,6547,[23518]
Emmanuel Ogbah,Miami Dolphins,American-Football,NFL,2,6548,[23486]
Jaelan Phillips,Miami Dolphins,American-Football,NFL,2,6550,[23491]
Duke Riley,Miami Dolphins,American-Football,NFL,2,6551,[23483]
Channing Tindall,Miami Dolphins,American-Football,NFL,2,6552,[23477]
Kader Kohou,Miami Dolphins,American-Football,NFL,2,6553,[23502]
Elijah Campbell,Miami Dolphins,American-Football,NFL,2,6555,[23485]
Jason Sanders,Miami Dolphins,American-Football,NFL,2,6557,[23494]
Marcus Maye,Miami Dolphins,American-Football,NFL,2,6559,[23507]
Jalen Ramsey,Miami Dolphins,American-Football,NFL,2,6563,[23493]
Malik Washington,Miami Dolphins,American-Football,NFL,2,6569,[23506]
Grant DuBose,Miami Dolphins,American-Football,NFL,2,6571,[23489]
Jaylen Wright,Miami Dolphins,American-Football,NFL,2,6573,[23496]
Chop Robinson,Miami Dolphins,American-Football,NFL,2,6574,[23479]
Mohamed Kamara,Miami Dolphins,American-Football,NFL,2,6578,[23509]
Brandon Pili,Miami Dolphins,American-Football,NFL,2,6580,[23474]
Ethan Bonner,Miami Dolphins,American-Football,NFL,2,6589,[23488]
Julian Hill,Miami Dolphins,American-Football,NFL,2,6590,[23501]
Folorunso Fatukasi,Houston Texans,American-Football,NFL,2,6594,[23151]
Myles Bryant,Houston Texans,American-Football,NFL,2,6596,[23172]
Del'Shawn Phillips,Houston Texans,American-Football,NFL,2,6597,[23144]
Robert Woods,Houston Texans,American-Football,NFL,2,6598,[23177]
Joe Mixon,Houston Texans,American-Football,NFL,2,6608,[23159]
Derek Barnett,Houston Texans,American-Football,NFL,2,6610,[23146]
Azeez Al-Shaair,Houston Texans,American-Football,NFL,2,6612,[23130]
Jimmie Ward,Houston Texans,American-Football,NFL,2,6613,[23158]
Case Keenum,Houston Texans,American-Football,NFL,2,6615,[23138]
Kendrick Green,Houston Texans,American-Football,NFL,2,6620,[23165]
Shaq Mason,Houston Texans,American-Football,NFL,2,6621,[23179]
Khalil Davis,Houston Texans,American-Football,NFL,2,6622,[23167]
Davis Mills,Houston Texans,American-Football,NFL,2,6624,[23143]
Dare Ogunbowale,Houston Texans,American-Football,NFL,2,6625,[23142]
Dameon Pierce,Houston Texans,American-Football,NFL,2,6626,[23140]
Nico Collins,Houston Texans,American-Football,NFL,2,6627,[23175]
John Metchie III,Houston Texans,American-Football,NFL,2,6628,[23160]
Brevin Jordan,Houston Texans,American-Football,NFL,2,6629,[23132]
Jerry Hughes,Houston Texans,American-Football,NFL,2,6633,[23157]
Jake Hansen,Houston Texans,American-Football,NFL,2,6635,[23153]
Neville Hewitt,Houston Texans,American-Football,NFL,2,6637,[23173]
Eric Murray,Houston Texans,American-Football,NFL,2,6640,[23149]
Jalen Pitre,Houston Texans,American-Football,NFL,2,6641,[23154]
M.J. Stewart,Houston Texans,American-Football,NFL,2,6642,[23170]
Ka'imi Fairbairn,Houston Texans,American-Football,NFL,2,6643,[23163]
Dalton Schultz,Houston Texans,American-Football,NFL,2,6646,[23139]
Cam Akers,Houston Texans,American-Football,NFL,2,6647,[23137]
Danielle Hunter,Houston Texans,American-Football,NFL,2,6651,[23141]
Kris Boyd,Houston Texans,American-Football,NFL,2,6652,[23168]
British Brooks,Houston Texans,American-Football,NFL,2,6657,[23133]
Juice Scruggs,Houston Texans,American-Football,NFL,2,6660,[23162]
Henry To'oTo'o,Houston Texans,American-Football,NFL,2,6663,[23152]
C.J. Stroud,Houston Texans,American-Football,NFL,2,6664,[23134]
Cade Stover,Houston Texans,American-Football,NFL,2,6665,[23135]
Blake Fisher,Houston Texans,American-Football,NFL,2,6666,[23131]
Kamari Lassiter,Houston Texans,American-Football,NFL,2,6667,[23164]
Jamal Hill,Houston Texans,American-Football,NFL,2,6668,[23155]
Calen Bullock,Houston Texans,American-Football,NFL,2,6670,[23136]
Derek Carr,New Orleans Saints,American-Football,NFL,2,6679,[23629]
Foster Moreau,New Orleans Saints,American-Football,NFL,2,6680,[23636]
Jamaal Williams,New Orleans Saints,American-Football,NFL,2,6691,[23640]
Equanimeous St. Brown,New Orleans Saints,American-Football,NFL,2,6699,[23633]
Khalen Saunders,New Orleans Saints,American-Football,NFL,2,6702,[23649]
Chase Young,New Orleans Saints,American-Football,NFL,2,6704,[23625]
Cedrick Wilson Jr.,New Orleans Saints,American-Football,NFL,2,6707,[23623]
Alvin Kamara,New Orleans Saints,American-Football,NFL,2,6708,[23617]
Adam Prentice,New Orleans Saints,American-Football,NFL,2,6709,[23616]
Chris Olave,New Orleans Saints,American-Football,NFL,2,6711,[23626]
Rashid Shaheed,New Orleans Saints,American-Football,NFL,2,6712,[23661]
Juwan Johnson,New Orleans Saints,American-Football,NFL,2,6714,[23646]
Cameron Jordan,New Orleans Saints,American-Football,NFL,2,6716,[23622]
Marshon Lattimore,New Orleans Saints,American-Football,NFL,2,6725,[23655]
Bub Means,New Orleans Saints,American-Football,NFL,2,6736,[23620]
A.T. Perry,New Orleans Saints,American-Football,NFL,2,6737,[23615]
Jake Haener,New Orleans Saints,American-Football,NFL,2,6740,[23638]
Jordan Mims,New Orleans Saints,American-Football,NFL,2,6741,[23645]
Dallin Holker,New Orleans Saints,American-Football,NFL,2,6750,[23627]
Spencer Rattler,New Orleans Saints,American-Football,NFL,2,6755,[23664]
Mason Tipton,New Orleans Saints,American-Football,NFL,2,6762,[23656]
Jarrett Stidham,Denver Broncos,American-Football,NFL,2,6766,[23015]
Lil'Jordan Humphrey,Denver Broncos,American-Football,NFL,2,6767,[23022]
Ben Powers,Denver Broncos,American-Football,NFL,2,6770,[22997]
Josh Reynolds,Denver Broncos,American-Football,NFL,2,6773,[23017]
Zach Allen,Denver Broncos,American-Football,NFL,2,6775,[23041]
Michael Burton,Denver Broncos,American-Football,NFL,2,6782,[23030]
Lucas Krull,Denver Broncos,American-Football,NFL,2,6789,[23023]
Adam Trautman,Denver Broncos,American-Football,NFL,2,6790,[22992]
Javonte Williams,Denver Broncos,American-Football,NFL,2,6794,[23016]
Tim Patrick,Denver Broncos,American-Football,NFL,2,6795,[23036]
Courtland Sutton,Denver Broncos,American-Football,NFL,2,6796,[23004]
Jalen Virgil,Denver Broncos,American-Football,NFL,2,6797,[23014]
Greg Dulcich,Denver Broncos,American-Football,NFL,2,6798,[23011]
Luke Wattenberg,Denver Broncos,American-Football,NFL,2,6799,[23024]
Quinn Meinerz,Denver Broncos,American-Football,NFL,2,6800,[23034]
Blake Watson,Denver Broncos,American-Football,NFL,2,6826,[22998]
Audric Estime,Denver Broncos,American-Football,NFL,2,6828,[22996]
Bo Nix,Denver Broncos,American-Football,NFL,2,6829,[22999]
Troy Franklin,Denver Broncos,American-Football,NFL,2,6830,[23039]
Alex Forsyth,Denver Broncos,American-Football,NFL,2,6831,[22994]
Devaughn Vele,Denver Broncos,American-Football,NFL,2,6832,[23007]
Nate Adkins,Denver Broncos,American-Football,NFL,2,6844,[23033]
Jaleel McLaughlin,Denver Broncos,American-Football,NFL,2,6846,[23013]
Brock Hoffman,Dallas Cowboys,American-Football,NFL,2,6855,[22956]
Carl Lawson,Dallas Cowboys,American-Football,NFL,2,6857,[22957]
Trey Lance,Dallas Cowboys,American-Football,NFL,2,6858,[22987]
Brandin Cooks,Dallas Cowboys,American-Football,NFL,2,6866,[22953]
Dak Prescott,Dallas Cowboys,American-Football,NFL,2,6868,[22962]
Cooper Rush,Dallas Cowboys,American-Football,NFL,2,6869,[22961]
Rico Dowdle,Dallas Cowboys,American-Football,NFL,2,6871,[22983]
Ezekiel Elliott,Dallas Cowboys,American-Football,NFL,2,6872,[22965]
CeeDee Lamb,Dallas Cowboys,American-Football,NFL,2,6873,[22958]
Jalen Tolbert,Dallas Cowboys,American-Football,NFL,2,6874,[22970]
KaVontae Turpin,Dallas Cowboys,American-Football,NFL,2,6875,[22975]
Jake Ferguson,Dallas Cowboys,American-Football,NFL,2,6876,[22968]
Tyler Smith,Dallas Cowboys,American-Football,NFL,2,6879,[22989]
Matt Waletzko,Dallas Cowboys,American-Football,NFL,2,6880,[22980]
Micah Parsons,Dallas Cowboys,American-Football,NFL,2,6886,[22981]
Malik Hooker,Dallas Cowboys,American-Football,NFL,2,6892,[22978]
Asim Richards,Dallas Cowboys,American-Football,NFL,2,6906,[22952]
Luke Schoonmaker,Dallas Cowboys,American-Football,NFL,2,6919,[22977]
Tyler Guyton,Dallas Cowboys,American-Football,NFL,2,6921,[22988]
Ryan Flournoy,Dallas Cowboys,American-Football,NFL,2,6926,[22984]
Deuce Vaughn,Dallas Cowboys,American-Football,NFL,2,6928,[22964]
Cooper Beebe,Dallas Cowboys,American-Football,NFL,2,6929,[22960]
John Stephens Jr.,Dallas Cowboys,American-Football,NFL,2,6933,[22973]
Jalen Brooks,Dallas Cowboys,American-Football,NFL,2,6935,[22969]
Hunter Luepke,Dallas Cowboys,American-Football,NFL,2,6938,[22966]
J.K. Dobbins,Los Angeles Chargers,American-Football,NFL,2,6947,[23390]
Gus Edwards,Los Angeles Chargers,American-Football,NFL,2,6948,[23385]
Hassan Haskins,Los Angeles Chargers,American-Football,NFL,2,6949,[23386]
Bud Dupree,Los Angeles Chargers,American-Football,NFL,2,6951,[23376]
Hayden Hurst,Los Angeles Chargers,American-Football,NFL,2,6957,[23387]
Taylor Heinicke,Los Angeles Chargers,American-Football,NFL,2,6961,[23412]
Bradley Bozeman,Los Angeles Chargers,American-Football,NFL,2,6963,[23372]
Will Dissly,Los Angeles Chargers,American-Football,NFL,2,6964,[23416]
Simi Fehoko,Los Angeles Chargers,American-Football,NFL,2,6968,[23409]
Justin Herbert,Los Angeles Chargers,American-Football,NFL,2,6969,[23400]
Easton Stick,Los Angeles Chargers,American-Football,NFL,2,6970,[23383]
Isaiah Spiller,Los Angeles Chargers,American-Football,NFL,2,6971,[23389]
Joshua Palmer,Los Angeles Chargers,American-Football,NFL,2,6972,[23399]
Donald Parham Jr.,Los Angeles Chargers,American-Football,NFL,2,6973,[23382]
Stone Smartt,Los Angeles Chargers,American-Football,NFL,2,6974,[23411]
Rashawn Slater,Los Angeles Chargers,American-Football,NFL,2,6975,[23406]
Joey Bosa,Los Angeles Chargers,American-Football,NFL,2,6978,[23396]
Khalil Mack,Los Angeles Chargers,American-Football,NFL,2,6979,[23401]
Derius Davis,Los Angeles Chargers,American-Football,NFL,2,7005,[23379]
Quentin Johnston,Los Angeles Chargers,American-Football,NFL,2,7006,[23405]
Ladd McConkey,Los Angeles Chargers,American-Football,NFL,2,7009,[23403]
Brenden Rice,Los Angeles Chargers,American-Football,NFL,2,7014,[23374]
Kimani Vidal,Los Angeles Chargers,American-Football,NFL,2,7018,[23402]
Darious Williams,Los Angeles Rams,American-Football,NFL,2,7037,[23432]
Demarcus Robinson,Los Angeles Rams,American-Football,NFL,2,7038,[23434]
Jimmy Garoppolo,Los Angeles Rams,American-Football,NFL,2,7043,[23442]
Kamren Curl,Los Angeles Rams,American-Football,NFL,2,7045,[23449]
Kevin Dotson,Los Angeles Rams,American-Football,NFL,2,7048,[23451]
Ahkello Witherspoon,Los Angeles Rams,American-Football,NFL,2,7049,[23419]
Colby Parkinson,Los Angeles Rams,American-Football,NFL,2,7050,[23431]
Hunter Long,Los Angeles Rams,American-Football,NFL,2,7052,[23438]
Neville Gallimore,Los Angeles Rams,American-Football,NFL,2,7055,[23458]
Matthew Stafford,Los Angeles Rams,American-Football,NFL,2,7057,[23456]
Ronnie Rivers,Los Angeles Rams,American-Football,NFL,2,7058,[23464]
Kyren Williams,Los Angeles Rams,American-Football,NFL,2,7059,[23453]
Tutu Atwell,Los Angeles Rams,American-Football,NFL,2,7060,[23468]
Michael Hoecht,Los Angeles Rams,American-Football,NFL,2,7066,[23457]
Jake Hummel,Los Angeles Rams,American-Football,NFL,2,7068,[23439]
Christian Rozeboom,Los Angeles Rams,American-Football,NFL,2,7069,[23428]
Cobie Durant,Los Angeles Rams,American-Football,NFL,2,7070,[23429]
Quentin Lake,Los Angeles Rams,American-Football,NFL,2,7072,[23462]
Jared Verse,Los Angeles Rams,American-Football,NFL,2,7076,[23440]
Charles Woods,Los Angeles Rams,American-Football,NFL,2,7079,[23427]
Kobie Turner,Los Angeles Rams,American-Football,NFL,2,7080,[23452]
Byron Young,Los Angeles Rams,American-Football,NFL,2,7081,[23426]
Jaylen McCollough,Los Angeles Rams,American-Football,NFL,2,7082,[23441]
Desjuan Johnson,Los Angeles Rams,American-Football,NFL,2,7083,[23435]
Cody Schrader,Los Angeles Rams,American-Football,NFL,2,7084,[23430]
Braden Fiske,Los Angeles Rams,American-Football,NFL,2,7085,[23425]
Steve Avila,Los Angeles Rams,American-Football,NFL,2,7086,[23467]
Stetson Bennett,Los Angeles Rams,American-Football,NFL,2,7088,[23466]
Blake Corum,Los Angeles Rams,American-Football,NFL,2,7089,[23423]
Kamren Kinchens,Los Angeles Rams,American-Football,NFL,2,7093,[23450]
Beaux Limmer,Los Angeles Rams,American-Football,NFL,2,7094,[23422]
Puka Nacua,Los Angeles Rams,American-Football,NFL,2,7096,[23461]
Nick Hampton,Los Angeles Rams,American-Football,NFL,2,7097,[23459]
Josh Wallace,Los Angeles Rams,American-Football,NFL,2,7102,[23446]
Joshua Karty,Los Angeles Rams,American-Football,NFL,2,7104,[23447]
Jordan Whittington,Los Angeles Rams,American-Football,NFL,2,7106,[23445]
Omar Speights,Los Angeles Rams,American-Football,NFL,2,7109,[23460]
Davis Allen,Los Angeles Rams,American-Football,NFL,2,7111,[23433]
Shaquill Griffin,Minnesota Vikings,American-Football,NFL,2,7119,[23558]
Josh Oliver,Minnesota Vikings,American-Football,NFL,2,7122,[23546]
T.J. Hockenson,Minnesota Vikings,American-Football,NFL,2,7124,[23559]
Byron Murphy Jr.,Minnesota Vikings,American-Football,NFL,2,7127,[23529]
Aaron Jones,Minnesota Vikings,American-Football,NFL,2,7128,[23519]
N'Keal Harry,Minnesota Vikings,American-Football,NFL,2,7129,[23553]
Myles Gaskin,Minnesota Vikings,American-Football,NFL,2,7135,[23552]
Brandon Powell,Minnesota Vikings,American-Football,NFL,2,7145,[23525]
Nick Mullens,Minnesota Vikings,American-Football,NFL,2,7147,[23554]
Ty Chandler,Minnesota Vikings,American-Football,NFL,2,7148,[23563]
Kene Nwangwu,Minnesota Vikings,American-Football,NFL,2,7149,[23548]
C.J. Ham,Minnesota Vikings,American-Football,NFL,2,7150,[23530]
Trishton Jackson,Minnesota Vikings,American-Football,NFL,2,7151,[23562]
Justin Jefferson,Minnesota Vikings,American-Football,NFL,2,7152,[23547]
Jalen Nailor,Minnesota Vikings,American-Football,NFL,2,7153,[23542]
Johnny Mundt,Minnesota Vikings,American-Football,NFL,2,7154,[23543]
Nick Muse,Minnesota Vikings,American-Football,NFL,2,7155,[23555]
Christian Darrisaw,Minnesota Vikings,American-Football,NFL,2,7156,[23532]
Brian O'Neill,Minnesota Vikings,American-Football,NFL,2,7157,[23528]
Harrison Smith,Minnesota Vikings,American-Football,NFL,2,7168,[23540]
J.J. McCarthy,Minnesota Vikings,American-Football,NFL,2,7183,[23541]
Jordan Addison,Minnesota Vikings,American-Football,NFL,2,7186,[23544]
Jalen Catalon,UNLV,American-Football,NCAA,2,7539,[7572]
Evan Burkhart,Cal Poly,American-Football,NCAA,2,10316,[10367]
Aaron Young,Old Dominion,American-Football,NCAA,2,10746,[10769]
Will Johnson,Michigan,American-Football,NCAA,2,11934,[11948]
Jamareeh Jones,Boston College,American-Football,NCAA,2,13581,[13602]
Joshua Eaton,Texas State,American-Football,NCAA,2,14860,[14915]
Tre Bradford,Grambling,American-Football,NCAA,2,16132,[16145]
Reggie Grimes,Memphis,American-Football,NCAA,2,16219,[16265]
Jalin Conyers,Texas Tech,American-Football,NCAA,2,16572,[16641]
Team,Robert Morris,American-Football,NCAA,2,18405,[18408]
Samario Rudolph,Jacksonville State,American-Football,NCAA,2,19594,[19658]
Jaylen Lane,Prairie View A&M,American-Football,NCAA,2,21140,[21175]
Christos Mandas,Lazio,Soccer,Serie A,2,28459,[28460]
Milan Đurić,Parma Calcio 1913,Soccer,Serie A,2,28607,[28608]
Lorenzo Lucca,Udinese,Soccer,Serie A,2,28695,[28696]
Grégoire Coudert,Brest,Soccer,Ligue 1,2,28836,[28837]
Matias Fernandez-Pardo,Lille,Soccer,Ligue 1,2,28941,[28942]
Jeffrey de Lange,Marseille,Soccer,Ligue 1,2,28990,[28991]
Soungoutou Magassa,Monaco,Soccer,Ligue 1,2,29031,[29032]
Djaoui Cissé,Rennes,Soccer,Ligue 1,2,29180,[29181]
Jeffrey Gal,Chicago Fire,Soccer,MLS,2,29483,[29484]
Peyton Miller,New England Revolution,Soccer,MLS,2,29838,[29839]
